State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,APC,LP,PDP,NNPP,Latitude,Longitude,Latitude_rad,Longitude_rad,APC_outlier_score,LP_outlier_score,PDP_outlier_score,NNPP_outlier_score
OSUN,ATAKUMOSA EAST,IWARA,29-01-01-001,TOWN HALL IWARA,181,942,44,273,0,0,7.4661824,4.6780746,0.1303094654344523,0.08164780442391673,48.2,267.6,115.2,0.2
OSUN,ATAKUMOSA EAST,IWARA,29-01-01-003,"L.A. SCHOOL, IWIKUN",245,881,40,11,175,1,7.5869747,4.6294498,0.13241768878050902,0.08079914156579299,32.46153846153847,5.153846153846154,59.69230769230769,1.0
OSUN,ATAKUMOSA EAST,IWARA,29-01-01-004,"METHODIST PRY. SCHOOL, AYETORO",117,308,14,3,99,1,7.8463316,4.4879016,0.13694432062327472,0.07832865942552154,78.0,2.5,2.5,1.0
OSUN,ATAKUMOSA EAST,IWARA,29-01-01-007,OPEN SPACE ODO-IWARA,187,538,25,4,155,0,7.5403179,4.8251988,0.13160337400206454,0.08421560612327936,30.0,2.8,30.939393939393938,0.11538461538461539
OSUN,ATAKUMOSA EAST,IGANGAN,29-01-02-001,"N.U.D PRY. SCHOL, IGANGAN",187,558,22,0,161,0,7.5467448,3.7881413,0.13171554456776097,0.06611553821577827,30.0,2.8,30.939393939393938,0.11538461538461539
OSUN,ATAKUMOSA EAST,IGANGAN,29-01-02-003,"APOSTOLIC PRY. SCHOOL, OKO-AGO",204,724,3,199,0,0,7.4691347,4.5422036,0.1303609927899589,0.0792764081159395,99.6,192.1,75.1,1.0
OSUN,ATAKUMOSA EAST,IGANGAN,29-01-02-005,OPEN SPACE AJUMOBI,155,449,4,1,148,0,7.5063883,4.8264125,0.13101119076817988,0.08423678918441083,33.9,0.7,25.599999999999994,0.4
OSUN,ATAKUMOSA EAST,IPOLE,29-01-03-001,"TOWN HALL, IPOLE",292,787,123,1,152,0,7.5063883,4.8264125,0.13101119076817988,0.08423678918441083,97.0,0.7,30.0,0.4
OSUN,ATAKUMOSA EAST,IPOLE,29-01-03-002,TOWN HALL ODO IJESA,225,909,113,5,98,0,7.6239926,4.7331006,0.13306377301768305,0.08260818929811913,34.08823529411765,5.617647058823529,18.058823529411768,0.11764705882352941
OSUN,ATAKUMOSA EAST,IPOLE,29-01-03-004,"L.A. SCHOOL, IMOGBARA",206,478,88,2,104,0,7.6229643,4.7912267,0.13304582579698476,0.0836226811244626,26.0,31.0,47.0,0.0
OSUN,ATAKUMOSA EAST,IPOLE,29-01-03-005,OPEN SPACE IROGBO/IJEMBA,200,613,75,0,105,4,7.5063883,4.8264125,0.13101119076817988,0.08423678918441083,44.2,0.4,21.700000000000003,4.0
OSUN,ATAKUMOSA EAST,IPOLE,29-01-03-006,"ST. JOHN PRY. SCHOOL, IDADO",253,574,132,9,99,0,7.6225555,4.7491437,0.13303869089100262,0.08288819421534584,52.8,0.1999999999999993,0.519999999999996,0.08
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-002,TOWN HALL IPERINDO II,228,960,83,1,136,0,7.5063883,4.8264125,0.13101119076817988,0.08423678918441083,53.0,0.7,12.400000000000006,0.4
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-003,"TEMIDIRE GRAMMAR SCHOOL, IPERINDO",222,750,75,3,141,0,7.1344973,4.8637331,0.12452046835964563,0.08488815653323062,30.0,2.8,30.939393939393938,0.11538461538461539
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-004,MATT. CENT AGO ISEGUN,194,532,16,0,176,0,7.5063883,4.8264125,0.13101119076817988,0.08423678918441083,20.700000000000003,0.4,56.400000000000006,0.4
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-006,"COMM. PRY. SCHOOL, KAJOLA",145,731,24,1,120,0,7.658203,4.7262728,0.13366085713610731,0.08248902170745145,61.400000000000006,22.6,10.799999999999997,0.2
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-007,"CENT. PRY. SCHOOL, AASA",252,724,2,0,246,0,7.5063883,4.8264125,0.13101119076817988,0.08423678918441083,36.1,0.4,133.4,0.4
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-008,OPEN SPACE AYENI/TEMIDIRE,95,359,22,1,72,0,7.5063883,4.8264125,0.13101119076817988,0.08423678918441083,14.100000000000001,0.7,58.0,0.4
OSUN,ATAKUMOSA EAST,ETI-ONI,29-01-05-001,ETI ONI OPEN SPACE,114,536,5,1,106,0,7.3804456,4.7588042,0.1288130759843284,0.08305680174773473,30.0,2.8,30.939393939393938,0.11538461538461539
