State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,APC,LP,PDP,NNPP
OSUN,ATAKUMOSA EAST,IWARA,29-01-01-001,TOWN HALL IWARA,181,942,44,273,0,0
OSUN,ATAKUMOSA EAST,IWARA,29-01-01-003,"L.A. SCHOOL, IWIKUN",245,881,40,11,175,1
OSUN,ATAKUMOSA EAST,IWARA,29-01-01-004,"METHODIST PRY. SCHOOL, AYETORO",117,308,14,3,99,1
OSUN,ATAKUMOSA EAST,IWARA,29-01-01-007,OPEN SPACE ODO-IWARA,187,538,25,4,155,0
OSUN,ATAKUMOSA EAST,IGANGAN,29-01-02-001,"N.U.D PRY. SCHOL, IGANGAN",187,558,22,0,161,0
OSUN,ATAKUMOSA EAST,IGANGAN,29-01-02-003,"APOSTOLIC PRY. SCHOOL, OKO-AGO",204,724,3,199,0,0
OSUN,ATAKUMOSA EAST,IGANGAN,29-01-02-005,OPEN SPACE AJUMOBI,155,449,4,1,148,0
OSUN,ATAKUMOSA EAST,IPOLE,29-01-03-001,"TOWN HALL, IPOLE",292,787,123,1,152,0
OSUN,ATAKUMOSA EAST,IPOLE,29-01-03-002,TOWN HALL ODO IJESA,225,909,113,5,98,0
OSUN,ATAKUMOSA EAST,IPOLE,29-01-03-003,ST. ANDREW ISE-IJESA,243,565,84,3,129,0
OSUN,ATAKUMOSA EAST,IPOLE,29-01-03-004,"L.A. SCHOOL, IMOGBARA",206,478,88,2,104,0
OSUN,ATAKUMOSA EAST,IPOLE,29-01-03-005,OPEN SPACE IROGBO/IJEMBA,200,613,75,0,105,4
OSUN,ATAKUMOSA EAST,IPOLE,29-01-03-006,"ST. JOHN PRY. SCHOOL, IDADO",253,574,132,9,99,0
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-002,TOWN HALL IPERINDO II,228,960,83,1,136,0
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-003,"TEMIDIRE GRAMMAR SCHOOL, IPERINDO",222,750,75,3,141,0
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-004,MATT. CENT AGO ISEGUN,194,532,16,0,176,0
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-006,"COMM. PRY. SCHOOL, KAJOLA",145,731,24,1,120,0
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-007,"CENT. PRY. SCHOOL, AASA",252,724,2,0,246,0
OSUN,ATAKUMOSA EAST,IPERINDO,29-01-04-008,OPEN SPACE AYENI/TEMIDIRE,95,359,22,1,72,0
OSUN,ATAKUMOSA EAST,ETI-ONI,29-01-05-001,ETI ONI OPEN SPACE,114,536,5,1,106,0
OSUN,ATAKUMOSA EAST,ETI-ONI,29-01-05-002,"L.A. PRY. SCHOOL, ALADODO",132,490,1,3,125,0
