State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,APC,LP,PDP,NNPP,Local Government Name,Latitude,Longitude,Latitude_rad,Longitude_rad,APC_outlier_score,LP_outlier_score,PDP_outlier_score,NNPP_outlier_score
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU VILLAGE,10-02-01-005,"ABUISI SQUARE, ABUISI",36,378,2,27,7,0,ANIOCHA - SOUTH,6.2220592,6.5662203,0.108595419,0.114602164,5.59375,70.59375,4.1875,0.6875
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU VILLAGE,10-02-01-008,"OMEZI PRIMARY SCHOOL, OLLOH CAMPS",103,722,2,64,28,1,ANIOCHA - SOUTH,6.1814209,6.5302649,0.107886147,0.113974624,4.588235294,15.23529412,3.117647059,0.117647059
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU VILLAGE,10-02-01-009,"ASHINZE PRIMARY SCHOOL, AZAGBA OGWASHI/UMUJEA",181,750,28,140,6,1,ANIOCHA - SOUTH,6.2231454,6.5646703,0.108614377,0.114575111,21.21875,45.9375,5.21875,0.34375
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU VILLAGE,10-02-01-010,"AZAGBA JUNCTION SQUARE, AZAGBA JUNCTION",170,972,17,103,32,1,ANIOCHA - SOUTH,6.2559936,6.5976823,0.109187686,0.115151279,,,,
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU VILLAGE,10-02-01-012,"EBITEH PRIMARY SCHOOL, ISAH OGWASHI",271,1331,0,0,0,0,ANIOCHA - SOUTH,6.2180613,6.4961961,0.108525643,0.113380011,,,,
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU VILLAGE,10-02-01-013,"UMUOKWE PRIMARY SCHOOL, ABOH OGWASHI",163,750,15,104,29,4,ANIOCHA - SOUTH,6.1653343,6.5676625,0.107605383,0.114627335,12,68,24,4
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU I,10-02-02-001,"NWEZE P/S, UMU-UZU/UMU OCHELE",179,843,6,131,29,4,ANIOCHA - SOUTH,6.2220592,6.5662203,0.108595419,0.114602164,1.46875,36.65625,18.5,3.4375
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU I,10-02-02-002,"NWEZE P/S, UMU- OCHELE ISIOKWE",193,750,8,137,29,3,ANIOCHA - SOUTH,6.2220592,6.5662203,0.108595419,0.114602164,0.59375,42.84375,18.5,2.40625
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU I,10-02-02-003,"OBI - NZEKWU P/S, UMUDEI",121,750,3,106,3,0,ANIOCHA - SOUTH,6.2220592,6.5662203,0.108595419,0.114602164,4.5625,10.875,8.3125,0.6875
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU I,10-02-02-004,"OBI - NZEKWU P/S, IDUMU OGWUDE",147,838,4,122,11,0,ANIOCHA - SOUTH,6.2220592,6.5662203,0.108595419,0.114602164,3.53125,27.375,0.0625,0.6875
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU I,10-02-02-005,"ABUANOR P/S, OGBENTI OBI I",192,750,28,141,15,2,ANIOCHA - SOUTH,6.2220592,6.5662203,0.108595419,0.114602164,21.21875,46.96875,4.0625,1.375
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU I,10-02-02-006,"ABUANOR P/S, OGBENTI OBI II",194,916,28,127,15,2,ANIOCHA - SOUTH,6.2220592,6.5662203,0.108595419,0.114602164,21.21875,32.53125,4.0625,1.375
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU I,10-02-02-007,"ABUANOR P/S, OGBENTI OBI III",176,866,21,131,11,0,ANIOCHA - SOUTH,6.2220592,6.5662203,0.108595419,0.114602164,14,36.65625,0.0625,0.6875
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU I,10-02-02-009,"OGBE-UBU HALL, OGBE - UBU II",149,495,20,83,30,3,ANIOCHA - SOUTH,6.1747319,6.5281771,0.107769402,0.113938185,14.08333333,7.5,6.916666667,2.25
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU I,10-02-02-010,"IKELEIKE P/S, OGBE OGWUDEI",192,907,27,132,20,0,ANIOCHA - SOUTH,6.1944087,6.5408297,0.108112827,0.114159014,20.875,43.5,10.375,4.375
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU I,10-02-02-011,"IKELEIKE P/S, ISHIEKPE QUARTERS",202,886,6,146,26,3,ANIOCHA - SOUTH,6.1811729,6.5339326,0.107881819,0.114038637,0.352941176,71.58823529,1,2.235294118
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU I,10-02-02-013,"NGWU P/S, ISIOKWE QUARTERS",194,828,10,145,20,0,ANIOCHA - SOUTH,6.2077958,6.5463156,0.108346476,0.114254761,2.2,44.3,5.7,0.6
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU I,10-02-02-014,"NGWU P/S, UMULOGAL/IDUMULUBULU",106,505,10,77,10,1,ANIOCHA - SOUTH,6.2231454,6.5646703,0.108614377,0.114575111,2.65625,19.03125,1.09375,0.34375
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU I,10-02-02-015,"NGWU P/S, OGBE ALIO I",180,808,18,129,16,1,ANIOCHA - SOUTH,6.1944087,6.5408297,0.108112827,0.114159014,10.75,40.125,5.875,3.25
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU I,10-02-02-017,AGBODEI CAMP,17,415,1,6,6,0,ANIOCHA - SOUTH,6.2220592,6.5662203,0.108595419,0.114602164,6.625,92.25,5.21875,0.6875
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU II,10-02-03-001,"ONIHE P/S, AGIDIEHE/IDUMU ODAFE",249,1246,5,210,8,1,ANIOCHA - SOUTH,6.2220592,6.5662203,0.108595419,0.114602164,2.5,118.125,3.15625,0.34375
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU II,10-02-03-002,"ONIHE P/S, OGBE-ONIHE I",201,1043,4,166,18,0,ANIOCHA - SOUTH,6.2077958,6.5463156,0.108346476,0.114254761,4.4,67.4,3.5,0.6
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU II,10-02-03-003,"ONIHE P/S, OGBE-ONIHE II",154,750,4,132,12,0,ANIOCHA - SOUTH,6.2077958,6.5463156,0.108346476,0.114254761,4.4,30,3.1,0.6
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU II,10-02-03-004,"ASEI P/S, AGIDIESE I",155,750,6,126,8,1,ANIOCHA - SOUTH,6.2231454,6.5646703,0.108614377,0.114575111,1.46875,31.5,3.15625,0.34375
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU II,10-02-03-005,"ASEI P/S, AGIDIESE II",141,750,3,112,12,0,ANIOCHA - SOUTH,6.2220592,6.5662203,0.108595419,0.114602164,4.5625,17.0625,0.96875,0.6875
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU II,10-02-03-006,"OGOMA P/S, OGBE-IHEGO",143,844,7,89,0,31,ANIOCHA - SOUTH,6.1944087,6.5408297,0.108112827,0.114159014,1.625,4.875,12.125,30.5
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU II,10-02-03-007,"OGOMA P/S, UMU-OKWE/OGBE ONICHA",108,598,7,61,14,2,ANIOCHA - SOUTH,6.2077958,6.5463156,0.108346476,0.114254761,1.1,48.1,0.9,1.6
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU II,10-02-03-008,"OGOMA P/S, OGBE ONICHA II",133,843,6,91,18,1,ANIOCHA - SOUTH,6.2077958,6.5463156,0.108346476,0.114254761,2.2,15.1,3.5,0.5
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU II,10-02-03-009,"NNABUWA P/S, OGBE-OFU I",148,832,5,125,12,0,ANIOCHA - SOUTH,6.1944087,6.5408297,0.108112827,0.114159014,3.875,35.625,1.375,4.375
DELTA,ANIOCHA - SOUTH,OGWASHI - UKU II,10-02-03-010,"NNABUWA P/S, OGBE-OFU II",156,893,5,130,15,2,ANIOCHA - SOUTH,6.1944087,6.5408297,0.108112827,0.114159014,3.875,41.25,4.75,2.125
