,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Lagos, Nigeria",2017-07-01,29.0,24.0,25.9,34.8,24.0,27.1,24.3,90.7,20.0,100,8.33,rain,0,0.0,22.7,16.6,251.1,1014.7,73.1,8.4,125.1,10.9,5,,2017-07-01T06:35:38,2017-07-01T19:05:02,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65213099999,DNMM,remote,65201099999"
1,"Lagos, Nigeria",2017-07-02,30.0,24.9,27.0,36.2,24.9,29.3,24.4,86.0,2.2,100,25.0,rain,0,0.0,22.3,13.1,232.7,1014.2,85.2,9.0,77.4,6.6,3,,2017-07-02T06:35:52,2017-07-02T19:05:11,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"65210099999,65213099999,DNMM,remote,65201099999"
2,"Lagos, Nigeria",2017-07-03,29.0,24.0,26.8,35.6,24.0,28.6,24.3,87.0,5.8,100,8.33,rain,0,0.0,31.3,22.3,240.9,1014.4,74.4,9.0,174.2,15.0,6,,2017-07-03T06:36:06,2017-07-03T19:05:19,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"DNMM,remote,65201099999"
3,"Lagos, Nigeria",2017-07-04,28.2,25.1,26.6,32.7,25.1,28.2,24.5,88.3,1.4,100,8.33,rain,0,0.0,29.2,22.3,256.5,1014.5,62.1,9.0,179.1,15.7,7,,2017-07-04T06:36:19,2017-07-04T19:05:27,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,DNMM,remote,65201099999"
4,"Lagos, Nigeria",2017-07-05,27.8,24.0,25.5,32.2,24.0,26.1,24.2,92.8,10.0,100,8.33,rain,0,0.0,31.3,24.1,257.5,1015.3,70.7,7.0,123.6,10.6,5,,2017-07-05T06:36:33,2017-07-05T19:05:34,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"DNMM,remote,65201099999"
5,"Lagos, Nigeria",2017-07-06,25.2,23.0,24.2,25.2,23.0,24.2,23.4,95.7,66.0,100,12.5,rain,0,0.0,24.8,18.4,264.0,1015.8,65.8,8.0,62.6,5.4,2,,2017-07-06T06:36:46,2017-07-06T19:05:41,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65213099999,DNMM,remote,65201099999"
6,"Lagos, Nigeria",2017-07-07,27.9,23.8,25.3,32.0,23.8,25.8,23.9,92.2,0.9,100,4.17,rain,0,0.0,27.0,13.0,253.6,1015.3,79.9,7.2,170.3,14.5,7,,2017-07-07T06:36:59,2017-07-07T19:05:47,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DNMM,remote,65201099999"
7,"Lagos, Nigeria",2017-07-08,25.1,24.0,24.6,25.1,24.0,24.6,23.8,95.5,18.1,100,8.33,rain,0,0.0,25.9,14.8,247.9,1015.2,71.5,6.7,126.4,11.0,4,,2017-07-08T06:37:12,2017-07-08T19:05:52,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"DNMM,remote,65201099999"
8,"Lagos, Nigeria",2017-07-09,27.0,23.0,24.9,30.6,23.0,25.3,23.6,92.6,15.0,100,8.33,rain,0,0.0,35.3,22.3,244.0,1015.6,66.7,7.5,183.0,15.9,6,,2017-07-09T06:37:25,2017-07-09T19:05:57,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,65213099999,DNMM,remote,65201099999"
9,"Lagos, Nigeria",2017-07-10,29.1,22.0,25.8,32.9,22.0,26.7,22.6,83.0,0.9,100,16.67,rain,0,0.0,38.5,22.3,235.3,1015.7,64.9,9.1,219.1,19.0,7,,2017-07-10T06:37:38,2017-07-10T19:06:01,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DNMM,remote,65201099999"
10,"Lagos, Nigeria",2017-07-11,30.0,21.8,25.7,33.3,21.8,26.8,22.0,81.0,0.1,100,4.17,rain,0,0.0,29.2,20.5,250.3,1016.9,55.3,9.4,219.0,18.9,7,,2017-07-11T06:37:50,2017-07-11T19:06:05,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,DNMM,remote,65201099999"
11,"Lagos, Nigeria",2017-07-12,30.0,23.0,26.0,34.1,23.0,27.3,22.6,82.2,0.1,100,4.17,rain,0,0.0,31.7,14.8,255.2,1016.6,57.9,9.6,171.6,14.8,6,,2017-07-12T06:38:03,2017-07-12T19:06:08,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,65213099999,DNMM,remote,65201099999"
12,"Lagos, Nigeria",2017-07-13,29.9,23.8,25.9,34.0,23.8,27.1,23.2,85.2,0.1,100,4.17,rain,0,0.0,34.2,17.6,244.0,1015.6,69.9,9.3,145.9,12.6,5,,2017-07-13T06:38:14,2017-07-13T19:06:10,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65213099999,DNMM,remote,65201099999"
