name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
lagos,2019-04-07,91.4,73.4,81.6,114.4,73.4,90.1,77.8,88.9,1.457,100,8.33,rain,0,0,22.8,20.8,226.2,1011.9,61.1,5.9,205.8,17.9,7,,2019-04-07T06:42:12,2019-04-07T18:55:10,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,remote,65201099999"
lagos,2019-04-08,91.4,75.2,83.1,107.8,75.2,91,76.4,81.5,0.004,100,4.17,rain,0,0,24.2,16.1,212.3,1011.9,49.7,5.1,209.8,18.2,8,,2019-04-08T06:41:45,2019-04-08T18:55:04,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65202099999,DNMM,remote,65201099999"
lagos,2019-04-09,95,80.2,85.4,112.9,87,97.6,79,82.5,0,0,0,,0,0,18.8,11.4,235,1011.5,53,6.1,211.1,18.2,7,,2019-04-09T06:41:18,2019-04-09T18:54:58,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
lagos,2019-04-10,93.2,76.8,84.8,114.4,76.8,95.6,78.5,82.4,0,0,0,,0,0,23.3,15,224.9,1010.6,54.5,6.4,214.8,18.6,7,,2019-04-10T06:40:52,2019-04-10T18:54:52,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65202099999,DNMM,65201099999"
lagos,2019-04-11,86,77,81.4,100.3,77,89.1,78.2,90.3,0.315,100,8.33,rain,0,0,23,12.8,187,1010.7,55.5,5.8,151.6,13.2,7,,2019-04-11T06:40:25,2019-04-11T18:54:47,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65210099999,65202099999,DNMM,65201099999"
lagos,2019-04-12,93.2,78.2,84.7,113.5,78.2,94.9,78.4,82.1,0,0,0,,0,0,22.1,16.1,221.1,1009.5,60,5.9,176.3,15.2,6,,2019-04-12T06:39:59,2019-04-12T18:54:41,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
lagos,2019-04-13,89.6,73.4,79.9,100.2,73.4,84.5,75.1,86.1,0.709,100,4.17,rain,0,0,21.9,17.2,236.5,1011.5,62.3,5.3,228,19.7,8,,2019-04-13T06:39:34,2019-04-13T18:54:36,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65210099999,65213099999,DNMM,remote,65201099999"
lagos,2019-04-14,84.8,75.2,80.4,98.1,75.2,84.8,76.6,88.3,0.788,100,8.33,rain,0,0,16.6,18.3,169.6,1012.2,70.8,4.8,157.8,13.7,7,,2019-04-14T06:39:08,2019-04-14T18:54:32,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,DNMM,remote,65201099999"
lagos,2019-04-15,89.6,75.2,81.6,105.2,75.2,87.6,75.9,83.6,0,0,0,,0,0,16.8,15,184.4,1011.4,48.1,4.4,231,20,7,,2019-04-15T06:38:43,2019-04-15T18:54:27,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
lagos,2019-04-16,86.6,77,82.1,97.2,77,88.2,76.3,83.3,0.008,100,8.33,rain,0,0,15.9,8.3,176.4,1011.3,42.6,6,239.1,20.8,8,,2019-04-16T06:38:19,2019-04-16T18:54:23,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,DNMM,remote,65201099999"
