name,Datetime,tempmax,tempmin,Temperature,feelslikemax,feelslikemin,feelslike,dew,Humidity,Precipitation,Precipitation_Probability,Precipation_Cover,Rain_Occurence,Wind_Gust,Wind_Speed,Wind_Direction,Sea_Level_Pressure,Cloud_Cover,Visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,Moon_Phase,Conditions,Description,icon,stations
lagos,7/4/2024,30,24,26.8,36.1,24,29.4,24.3,86.7,7.4,100,58.33,1,18.6,13.9,229.1,1014,42.8,5.2,200.2,17.3,6,10,2024-07-04T06:36:28,2024-07-04T19:05:34,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,DNMM
lagos,7/5/2024,30,24,27.5,36.1,24,30.6,24.4,83.4,3.8,100,45.83,1,15.2,12.8,243.3,1014.3,46.3,6.4,234.3,20.1,8,30,2024-07-05T06:36:42,2024-07-05T19:05:41,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DNMM,remote"
lagos,7/6/2024,27.3,25,26.7,30.1,25,28.1,23.2,81.5,7,100,75,1,19.9,17,225,1012.8,74.3,12.8,261.4,22.6,9,30,2024-07-06T06:36:55,2024-07-06T19:05:48,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,DNMM
lagos,7/7/2024,27.3,25.8,26.5,30,25.8,27.1,23,81.2,10.6,96.8,66.67,1,20.1,17.9,230,1012.9,99.7,12.5,256,21.9,9,30,2024-07-07T06:37:08,2024-07-07T19:05:54,0.05,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
lagos,7/8/2024,26.4,25,25.9,26.4,25,25.9,22.9,83.7,15.9,90.3,91.67,1,19.2,17.7,244.7,1012.6,98.5,10.2,83.7,7.2,3,10,2024-07-08T06:37:21,2024-07-08T19:05:59,0.08,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
lagos,7/9/2024,26.9,24.9,25.9,29.2,24.9,26,22.8,82.9,18.5,87.1,83.33,1,21,18.8,247.6,1012.2,95.3,8.9,115.1,9.9,6,10,2024-07-09T06:37:34,2024-07-09T19:06:04,0.11,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
lagos,7/10/2024,26,24.7,25.3,26,24.7,25.3,22.8,86.3,26.3,80.6,87.5,1,22.6,19,239,1013.1,92.7,5.7,98.8,8.5,5,10,2024-07-10T06:37:47,2024-07-10T19:06:08,0.15,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
lagos,7/11/2024,25.7,24.1,24.8,25.7,24.1,24.8,22.6,87.8,31.3,71,33.33,1,21.5,16.6,253.2,1014.7,99.9,7,26.4,2.1,1,10,2024-07-11T06:37:59,2024-07-11T19:06:11,0.18,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
lagos,7/12/2024,26.1,24.3,25.2,26.1,24.3,25.2,22.3,84.3,12,41.9,29.17,1,17.3,14.7,254.9,1015.6,92.6,10.1,55.6,4.8,2,10,2024-07-12T06:38:11,2024-07-12T19:06:14,0.21,Overcast,Cloudy skies throughout the day.,cloudy,
lagos,7/13/2024,26.5,25.5,26,26.5,25.5,26,22,78.6,2.5,45.2,25,1,19.9,18.8,238.1,1015.5,97.4,12.8,151.3,12.9,5,10,2024-07-13T06:38:23,2024-07-13T19:06:16,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,
lagos,7/14/2024,26.1,25.6,25.8,26.1,25.6,25.8,22.3,80.7,2.7,32.3,29.17,1,22.4,20.1,229.8,1015.5,94.2,14.2,221.8,19.2,7,10,2024-07-14T06:38:34,2024-07-14T19:06:17,0.27,Overcast,Cloudy skies throughout the day.,cloudy,
lagos,7/15/2024,26.4,25.4,25.9,26.4,25.4,25.9,21.6,77.4,3.4,38.7,29.17,1,20.4,18.6,223.8,1016.1,99.2,12.8,163.5,14.2,5,10,2024-07-15T06:38:46,2024-07-15T19:06:18,0.31,Overcast,Cloudy skies throughout the day.,cloudy,
lagos,7/16/2024,26.2,25.5,25.8,26.2,25.5,25.8,21.4,76.5,2.2,35.5,25,1,19.9,19.2,232.5,1015.8,96.4,13.9,220.9,19.2,7,10,2024-07-16T06:38:57,2024-07-16T19:06:18,0.34,Overcast,Cloudy skies throughout the day.,cloudy,
lagos,7/17/2024,26.1,25.5,25.9,26.1,25.5,25.9,20.8,73.7,0.2,29,8.33,1,17.7,16.1,236.3,1016.1,84.2,15,158,13.8,5,10,2024-07-17T06:39:07,2024-07-17T19:06:17,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
lagos,7/18/2024,26,25.5,25.7,26,25.5,25.7,21.6,77.8,1,32.3,12.5,1,19.5,19,231.6,1015.4,64.6,14.9,208,18,7,10,2024-07-18T06:39:17,2024-07-18T19:06:16,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
lagos,7/19/2024,26.3,25.7,26,26.3,25.7,26,20.9,73.8,0.7,16.1,25,1,20.6,19,234.4,1015.3,92.4,14.3,157.9,13.5,6,10,2024-07-19T06:39:27,2024-07-19T19:06:14,0.44,Overcast,Cloudy skies throughout the day.,cloudy,
lagos,7/20/2024,26.3,25.8,26,26.3,25.8,26,21,74.1,1.2,22.6,16.67,1,22.4,21,234.9,1015.5,38.3,14.6,201.8,17.4,8,10,2024-07-20T06:39:36,2024-07-20T19:06:11,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
